Date,California,New York,Texas,Washington,Illinois
2019-01-01,266,42,33,31,20
2019-01-02,726,113,86,42,46
2019-01-03,552,90,71,52,38
2019-01-04,549,103,63,25,32
2019-01-05,269,61,24,24,24
2019-01-06,302,58,32,28,22
2019-01-07,586,141,95,39,39
2019-01-08,696,122,89,49,35
2019-01-09,659,128,80,38,29
2019-01-10,519,130,77,46,33
2019-01-11,473,120,70,54,22
2019-01-12,254,78,42,39,18
2019-01-13,271,55,34,31,27
2019-01-14,643,159,76,71,31
2019-01-15,638,103,61,55,23
2019-01-16,491,81,91,94,29
2019-01-17,516,139,81,59,33
2019-01-18,458,78,69,52,39
2019-01-19,251,48,52,41,21
2019-01-20,276,37,45,30,17
2019-01-21,362,55,52,28,23
2019-01-22,529,120,71,51,35
2019-01-23,545,126,49,47,46
2019-01-24,464,130,64,30,42
2019-01-25,415,126,68,56,44
2019-01-26,225,70,33,16,30
2019-01-27,289,77,45,22,25
2019-01-28,521,120,52,28,46
2019-01-29,442,169,70,43,37
2019-01-30,507,176,51,43,51
2019-01-31,515,110,74,49,52
2019-02-01,441,114,55,59,27
2019-02-02,350,59,46,49,20
2019-02-03,262,69,33,34,28
2019-02-04,839,140,51,51,60
2019-02-05,577,123,65,63,52
2019-02-06,561,168,88,109,41
2019-02-07,657,190,156,69,66
2019-02-08,488,148,75,45,45
2019-02-09,287,65,31,29,23
2019-02-10,274,96,55,26,32
2019-02-11,544,153,73,44,21
2019-02-12,502,107,63,42,36
2019-02-13,516,93,50,47,42
2019-02-14,495,95,60,50,34
2019-02-15,516,93,57,50,28
2019-02-16,271,49,38,20,26
2019-02-17,306,44,37,25,28
2019-02-18,334,73,45,35,45
2019-02-19,498,87,56,51,37
2019-02-20,480,104,82,44,46
2019-02-21,494,102,55,53,32
2019-02-22,493,103,55,46,34
2019-02-23,284,48,24,22,29
2019-02-24,275,66,40,25,25
2019-02-25,514,115,45,38,46
2019-02-26,522,108,64,37,56
2019-02-27,460,93,56,32,30
2019-02-28,474,123,65,36,34
2019-03-01,488,135,51,36,29
2019-03-02,275,67,40,20,23
2019-03-03,291,71,45,23,39
2019-03-04,584,150,84,33,34
2019-03-05,512,116,56,34,46
2019-03-06,591,146,84,24,35
2019-03-07,478,101,54,56,42
2019-03-08,515,96,63,39,38
2019-03-09,313,45,27,25,24
2019-03-10,270,60,28,21,14
2019-03-11,577,150,58,44,31
2019-03-12,526,119,58,60,28
2019-03-13,507,137,69,35,40
2019-03-14,555,120,72,43,35
2019-03-15,476,143,43,38,31
2019-03-16,305,68,39,21,24
2019-03-17,298,60,30,28,27
2019-03-18,577,123,64,53,42
2019-03-19,550,133,71,57,33
2019-03-20,564,149,49,26,31
2019-03-21,487,104,80,43,44
2019-03-22,492,105,132,38,33
2019-03-23,338,76,47,14,36
2019-03-24,278,103,58,27,22
2019-03-25,508,151,90,36,26
2019-03-26,445,139,74,40,35
2019-03-27,538,149,86,48,16
2019-03-28,482,123,83,34,33
2019-03-29,476,135,58,39,38
2019-03-30,376,59,40,17,30
2019-03-31,239,63,46,26,16
2019-04-01,546,156,66,48,30
